,pk_time,pk_mag,a1,a2,std_time,std_mag,std_a1,std_a2,chi_2,filter,name,dof,redshift
0,59308.914646426434,21.211092354594623,1.7911695562933803,-0.3713782318863135,0.9225199732596779,0.035482289699199386,0.02686096633070253,0.007684921191645438,95.9079272094954,z,2021jel ,14.0,0.2103
1,59309.54078381623,20.765193634148304,-6.556097738974419,0.16705418131061844,0.30609741462639917,0.01584959263476816,0.44300129811564687,0.039087683585746255,22.4450652805368,g,2021jel ,18.0,0.2103
2,59311.16331032172,20.717715255609377,-2.1606296917791075,0.3874117829503681,0.3505359779334771,0.014341990810690023,0.10918367432623265,0.01975248804922949,46.20422323421454,r,2021jel ,15.0,0.2103
3,59280.10411,20.80080735598478,-4.8213608547169144,0.45788898300738856,3.202649893432173,0.19971032925108367,0.2064052787147645,0.033801713419778154,36.95725933265273,r,2021hmr  ,28.0,0.5187
4,59275.24546799071,20.88235794826941,0.2015915961407895,0.2972858014736031,8.422116977886825,0.2595121212235933,0.04208737723382481,0.011513007473050521,51.32645286288035,z,2021hmr  ,23.0,0.5187
5,59272.20444904431,20.419449641482238,-9.48473610161698,0.008834861649966967,3.742613204824468,0.5159664455347781,1.5684753917741083,0.07834431972087853,16.083693979481353,g,2021hmr  ,24.0,0.5187
6,59301.85621388969,21.17179431880998,-3.3129931254381524,0.1811156140954036,0.27606647987625527,0.022245424935148757,0.4311076708513516,0.040532741924073204,70.56093521653156,g,2021hmi  ,18.0,0.22975
7,59304.11782017784,21.071301945233337,-1.7647471980208762,0.37701829215341087,0.20838788877238387,0.014594424569016811,0.11331566175952358,0.020239966009352982,283.8544942233492,r,2021hmi  ,15.0,0.22975
8,59303.94944888441,21.47793384085805,1.6764104667680766,-0.328978204223572,0.6452599239370554,0.03767769302481374,0.027493289931193352,0.00783184147176447,11.481020197005734,z,2021hmi  ,9.0,0.22975
9,59283.46767,20.83593338823941,-4.919541331030351,0.1879535214839006,0.0,0.04415178295047957,0.3445187128833708,0.037161164062992864,22.693341349915983,g,2021hmp ,15.0,0.1779
10,59281.49970079211,21.19416531610612,1.9520813429044774,-0.44313573799466555,2.3564889592894063,0.09158265695425372,0.02604592711788803,0.007468864511495495,31.763342093385326,z,2021hmp ,7.0,0.1779
11,59275.222369999996,19.945986708169816,-1.4473150279260403,0.34339486822959286,0.0,0.023157387279457032,0.10692871707202292,0.018661804435211957,78.00873961077762,r,2021hmp ,9.0,0.1779
12,59312.685486339,22.74859380566968,-7.273446585981815,0.049084462944071976,1.1590706970432807,0.05112000367609805,1.380416220598665,0.06346871191511212,12.521821389504575,g,2021jii ,9.0,0.4276
13,59322.678686339,21.968676521972622,0.6548275264970937,0.10259711610138403,0.0,0.05534931294081261,0.036386999690282314,0.010057443247814154,39.77901631999487,z,2021jii ,9.0,0.4276
14,59316.76358689516,22.205763785522766,-4.722915726598645,0.4408368828970626,1.0326713422450315,0.03365020193309484,0.20408795876974417,0.028502258740866517,6.0320507188608,r,2021jii ,6.0,0.4276
