name,redshift,g_pk_time,r_pk_time,z_pk_time,g_a1,r_a1,z_a1,g_a2,r_a2,z_a2,g_std_time,r_std_time,z_std_time,g_std_mag,r_std_mag,z_std_mag,g_std_a1,r_std_a1,z_std_a1,g_std_a2,r_std_a2,z_std_a2,g_pk_mag,r_pk_mag,z_pk_mag
2021jxk ,0.3803,59320.09731861585,59329.75941861585,59329.75941861585,-2.1586520537521348,-3.3002832070579817,0.9054079093345332,0.0863427433252578,0.4244613881828861,-0.0009881666542082,0.6742000948788035,0.0,0.0,0.0244176142784186,0.0303255444377013,0.0548526156184529,0.5897089327325805,0.1691311443039393,0.0337592604982972,0.0565056266311746,0.0260309023687644,0.0094032344667819,-19.4837547628799,-19.84990333738397,-19.88358872565646
2021jxl ,0.4387,59321.75067017552,59323.85231740438,59330.913577554114,-2.958826127330212,-4.702838607229975,0.5990917630479184,0.036065440145384,0.4474348241723342,0.1262856430746623,0.8505849086109041,0.5855218053948569,1.132438353133736,0.0350930533013812,0.0319317729786041,0.0497283532757806,1.0154083353782062,0.2065651204126016,0.037023798807692,0.0648207968890639,0.0290316381914883,0.0102216405966419,-19.360768242397317,-19.922592199118068,-20.1964504198349
2021jxm  ,0.12925,59323.4585493089,59325.70285110723,59329.27284952079,-4.4023014201291515,-0.9930450163893186,2.1942939673851227,0.2298493914421558,0.3620554803682125,-0.5479283497264649,0.5729618614122626,0.4250982201473776,0.5771207542642713,0.0355049273531968,0.0264372137075198,0.0374071481611054,0.5011260843961028,0.1028412326998302,0.0250110237603949,0.0346345972083006,0.0181129327367227,0.0072141080864896,-16.81579972309743,-17.34448672518836,-17.565249379651924
2021jyh ,0.2795,59333.23656435288,59335.19333380622,59331.990917333605,-5.126776491725531,-1.945845567744087,1.4413794530091786,0.1440073098127564,0.4051993597976589,-0.2223036078381517,0.1350052816759173,0.2014204909537031,0.4763329596401718,0.0111600853628515,0.0088999029120846,0.0193969147099432,0.349078540802951,0.1085844158874974,0.029097783479966,0.0438674244774771,0.0214050077686489,0.0082592762108836,-20.952813742634152,-20.950045618503108,-20.172054015367635
2021jyj  ,0.1416,59334.23422985712,59336.5713245751,59331.25389850938,-4.002947269775688,-1.1922684221584634,2.136833281844025,0.2198715562824895,0.3682329597668521,-0.5213534338724549,1.398810341588262,0.7721224975190991,2.7894584887596054,0.0881209405293751,0.0418590009323944,0.1050144829073623,0.5068090187175978,0.1060486975619399,0.0252691279196616,0.0352359999985671,0.0183439916240828,0.0072725609674576,-16.994162082459624,-17.095067592274635,-17.397429493732083
2021kia ,0.4249,59333.29513758531,59331.71565887937,59333.42452095985,-6.8872775067785685,-4.5894569373194996,0.667425563169956,0.0544577040311033,0.4418537239416188,0.096400062950286,2.62982434244436,0.6803829736806745,1.780933461267137,0.2188532348927332,0.0452519436919686,0.065121770709657,1.371150292208198,0.2013765555106005,0.0362304020713776,0.0630742733934016,0.0283445449570854,0.0100182730587618,-19.146304451694395,-19.506941924414676,-20.278636413213583
2021kib ,0.2961,59328.73856739893,59329.306443833935,59330.48502263617,-5.709878451697204,-3.219372957988167,1.3342609648739734,0.1265076323645802,0.4066811305308462,-0.1844822792983525,0.6001514280029745,0.5803238519521268,1.6816456063917669,0.0583273726669648,0.040275255687365,0.0933445249215704,0.8075370149895681,0.1461109692520026,0.0298957209886425,0.0469154357007186,0.022564606017408,0.0084297846809846,-18.547739279085917,-18.872716815454236,-18.816348314832076
2021kic ,0.4302,59330.04762293987,59328.87366410504,59333.59698090986,-7.761060086108774,-4.71181602165865,0.6374442899297589,0.0417358337159512,0.4422842524016043,0.1079093200290394,1.4143401580982364,0.7574418054235595,2.0741498956571394,0.138323635914824,0.0536984420143735,0.0909483718585972,1.3840707600494455,0.2049843523002326,0.0365670768050335,0.0638355886081317,0.0286308140629999,0.0100962731689355,-19.540092555516836,-19.824899618055454,-19.89662244154905
2021kie ,0.681,59328.99106930315,59331.95101920194,59334.46573512179,-5.350439787011057,-6.945617322664307,-0.6639267828139791,-0.1116677282379132,0.5139499733085418,0.6545090563492076,0.7387065852482977,0.722072614502679,3.2678911787313427,0.0509004564755087,0.0458698668671646,0.0911640657149273,1.40922009462402,0.3838482450421893,0.0556335901609847,0.1102732126677226,0.0459328933294106,0.0148636326998139,-20.689835052623106,-20.7623354300437,-20.853362521522985
2021kii ,0.4099,59333.41869219924,59335.375781089955,59336.905590064845,-6.077212821416449,-4.5243204162239765,0.7442422273269037,0.0663557138106222,0.4341644592058354,0.0635970122626617,0.8128755627816552,0.6256263184985407,1.9256842274710373,0.0799034035431809,0.0330690204845922,0.072249871792269,1.240277556063799,0.1934645851963536,0.0353918557205598,0.0608521644070998,0.0275184811701309,0.0098044148408272,-18.85988805726081,-19.652127822163493,-19.44412560258424
2021knj ,0.0498,59340.83720872654,59343.275157022115,59340.93617137085,-5.497128849902916,-0.0077407574907967,2.5557837706901076,0.0701781049252935,0.3765057560675421,-0.7262320679008935,0.0608722690252854,0.0586862198910115,0.1743411110937524,0.003856534296649,0.0033166261138238,0.008690445816674,0.1765505646845257,0.0603416779654592,0.0238410843383737,0.0301124283324321,0.0163396204473676,0.0069611199578022,-18.127489710122372,-17.992119241010585,-17.301747221185565
2021koc ,0.1143,59337.66572816361,59345.46582816361,59336.215717349005,-4.495679621069543,-0.6933289245626099,2.2820036329865214,0.2457872373626088,0.3680128007159547,-0.580697139647012,0.6085580190098209,0.0,0.8767374122365071,0.0434664189038147,0.0299675014657405,0.0505138228989249,0.5074442676629073,0.1013405229514694,0.0247753320757565,0.0339890245852333,0.0179112483347845,0.0071523220814354,-17.219449820523838,-17.253995945181863,-17.43652813745634
2021kow ,0.3969,59336.29282724757,59340.65712845572,,-5.369649188521064,-4.379001863896765,,0.075006485752238,0.4351223029231615,,1.183504806147148,0.9936614830057888,,0.0681152544269488,0.0480903571075317,,1.0959233428240878,0.1887438236115626,,0.0590025292501051,0.0269166773272958,,-19.56454630358174,-19.71699623678246,
