name,redshift,g_pk_time,r_pk_time,z_pk_time,g_pk_mag,r_pk_mag,z_pk_mag,g_a1,r_a1,z_a1,g_a2,r_a2,z_a2,g_std_time,r_std_time,z_std_time,g_std_mag,r_std_mag,z_std_mag,g_std_a1,r_std_a1,z_std_a1,g_std_a2,r_std_a2,z_std_a2
2020abbl  ,0.0258,,59341.40634,,,19.615578888930187,,,0.5898797318937682,,,0.3255020986392042,,,0.0,,,0.0150701856151491,,,0.0881681048848656,,,0.0170969910183364,
2020acdl  ,0.047,59300.32762294727,59298.919757404125,59298.7392101825,20.49617553515384,20.3911565079628,20.911697979625128,3.2968041230289895,0.6329545544553209,2.6252436661440157,0.2600605899225139,0.3258837100684743,-0.7273030858348842,0.2479908084979203,0.2422096056807833,0.5124493247538766,0.0112661865525618,0.0096330223502592,0.0207407046395758,0.1598071599736613,0.0831681788511031,0.0239747953988209,0.0304436545872921,0.0169719085887921,0.0069635322175339
2021bxc ,0.399,59336.3156430224,59346.1086430224,,21.959530089274185,22.212766054451937,,-6.434638545462811,-4.3588312394836395,,0.0648215340073031,0.4368159331311379,,2.9338948331728245,0.0,,0.1606897778406052,0.0704240871930461,,1.159639724348737,0.1898276054626968,,0.0593714713295598,0.0270256359326334,
2021dnl ,0.3167,59282.1327,59272.9158,59272.9158,17.574718063763623,17.46080358670856,18.28539219028193,-4.668672915403173,-0.5585941041871932,1.2865993887765217,0.0855467267261743,0.2200552102022192,-0.1423917573430227,0.0,0.0,0.0,0.0271911158041305,0.0186418198988078,0.006312507571987,0.211028956284512,0.0996545885368801,0.0289197409103474,0.0479067170164916,0.0211905113214597,0.0081559107250763
2021fcp ,0.0877,,59336.861457949046,,,20.17526394381035,,,-0.5171747580889958,,,0.352003397634344,,,0.2586811940391947,,,0.0186923782477229,,,0.0995069539235865,,,0.0175678145902294,
2021ftc,0.1217,59292.03970868545,59293.49902771948,59286.006425119165,19.57563620850107,19.61978635561781,20.20204698814233,-5.141261993240438,-0.4559144165971132,2.2490475005747284,0.2216665968536319,0.3679269157755865,-0.566387200889199,0.6262109616062104,0.4735546337172998,0.651053936024745,0.0315592843002627,0.0138884934218288,0.0287826050351096,0.2077921652181808,0.0774524504298004,0.024800776481615,0.0340777569391317,0.0175483258052539,0.0071735060623923
2021fxl ,0.0581,59297.29944440009,59303.671385044225,59303.39100430794,20.75001423038993,20.21224285167741,20.183773079805626,0.4596124449750207,1.3905153155219352,2.6017754842669794,0.2609106513680784,0.2890293220231127,-0.7025672276296951,0.5701181489164319,0.1342768774745008,0.2100418422928177,0.0143645556719697,0.0102278241913867,0.01366124341196,0.241343535695103,0.0802282118976355,0.023924046175514,0.0318367725262509,0.0169559292634744,0.0069748722275587
2021gij  ,0.1866,59296.53900419762,59295.53800496996,59298.72680810102,19.80241222844631,19.73804617166926,20.49508827961978,-6.118977241441932,0.2001674748506426,1.964196326597276,0.041158516918584,0.2902429676028846,-0.4250374077349134,0.2194102367470497,0.3288645704378104,0.0004809233072799,0.0053660710181455,0.005493963563,0.0117828704738493,0.2088747707807434,0.0752832569179516,0.0258598354309138,0.0367194516096054,0.0182961285088848,0.0075088186381147
2021gvr ,0.1064,59284.274280000005,59277.98609622343,59282.882421856615,19.740822695143883,19.36544450898568,20.274843343224887,-5.239196155570985,-0.4589608310056486,2.330022625119007,0.2364362738563276,0.3223435341799008,-0.6003091751277839,0.0,0.0002993280888432,0.8403423099559633,0.025628727921895,0.0159862910928537,0.0318309458708827,0.2196417730915264,0.087498602301856,0.0245971905446811,0.0335153832395182,0.0170741725164968,0.0071139410819785
2021gwm ,0.1571,59297.39734123513,59298.691462564144,59296.29973199565,20.16149486448824,20.218214361129803,20.929099241426385,-6.1667886178216955,-1.0796187040926752,2.075003514631086,0.2246075581171705,0.370328287310728,-0.4887606082953182,0.2273839808221176,0.1635605238853426,0.7536663216534987,0.0064729654725941,0.0057129878691936,0.0190843167694989,0.2634945762693408,0.0855654889504203,0.0253707171875158,0.0354609674311149,0.0181833836209312,0.0073431827483563
2021hab ,0.151,59298.6663773574,59299.00508735715,59295.63341239174,20.47212072213509,20.452095763171297,21.339880950879945,-5.109820174291079,-1.416391766008234,2.082396145326266,0.2232846270003042,0.3626406884463714,-0.5012319484435791,0.2718026783815394,0.2279293174633089,1.6934720710191753,0.0115615636165044,0.0092946734246213,0.0409739023918679,0.3524943776461089,0.0992516559687301,0.0254244588704519,0.0354793231725854,0.0183772103895267,0.0073185405699156
2021hmg ,0.3363,,59350.74276714588,59355.16591801369,,23.06402508955975,22.07060867575496,,-3.695154695659388,1.1246802820693067,,0.4187418275379234,-0.0968498753254547,,1.8724926012627197,1.405197810036581,,0.0975748963734863,0.0624534123558937,,0.1624225099679234,0.0316407968101413,,0.0241595723944212,0.0088647048270539
2021hmi  ,0.22975,59301.85621388969,59304.11782017784,59303.94944888441,21.17179431880998,21.071301945233337,21.47793384085805,-3.3129931254381524,-1.7647471980208762,1.6764104667680766,0.1811156140954036,0.3770182921534108,-0.328978204223572,0.2760664798762552,0.2083878887723838,0.6452599239370554,0.0222454249351487,0.0145944245690168,0.0376776930248137,0.4311076708513516,0.1133156617595235,0.0274932899311933,0.0405327419240732,0.0202399660093529,0.0078318414717644
2021hmj ,0.1384,,59346.22273048156,59338.25393048156,,22.663302270327343,21.374054737462707,,-1.1515700366091763,2.1497229530704245,,0.3676616139509426,-0.5284264718525499,,0.0,0.918829679225276,,0.0878854947794909,0.047648665355756,,0.1063252758544062,0.0252035242689482,,0.0183043584675541,0.0072568114091891
2021hml ,0.3854,59304.280604903746,59295.793444653216,59302.99680065426,23.47036986187632,22.563788927772514,22.316755644213817,-6.671576117269332,-4.174197800652768,0.87507262126568,0.0768933863311767,0.4279570984881014,0.0097177574840229,1.89415567461283,1.9833917912011323,1.466017717369,0.1564347072583157,0.0597819261405121,0.0778412379346638,1.2127939651555224,0.1826230514940367,0.0340543007456474,0.0575432886991586,0.0263677869368282,0.0094707696513723
2021hmm ,0.1998,59301.42880217444,59304.71142717342,59299.89087739136,21.93417806869616,21.538463631662697,22.194244818593283,-6.957819226633628,-1.9428537910106531,1.8330850833892964,0.1762656655924224,0.3807000893069115,-0.3944087165725913,0.3445245791313141,0.3385403212282153,1.8133198851498165,0.0292611601393128,0.0224418494320476,0.0677641714196583,0.6076865446650364,0.1156052617556573,0.0266290962380801,0.0386630482223122,0.0195509533959499,0.0076125040205055
2021hmn  ,0.6908,59285.73589381108,59297.57149381107,59306.46002673674,22.60526187895131,21.973955290617713,22.49150897846516,-6.653081708093883,-5.76501870471787,-0.7118867910540569,-0.097080454637064,0.4892987421525826,0.6761441947547872,15.828119086175114,1.0239695098620063,2.461697410858182,0.954675123091597,0.0315754156022706,0.0988010629194445,2.1859410825769303,0.3589504592338159,0.0565465301822616,0.1143921870659959,0.0467728781226603,0.0150950101902925
2021hmo ,0.087,59344.33710796737,59356.24918968641,59348.64018968641,22.800767757155043,22.2534038941816,21.592321789295,-4.833739174209086,-0.5036372217977305,2.4198301576665626,0.2504896608964301,0.3541564081369266,-0.6401319532753532,1.7676568980602214,0.0,1.364466776555609,0.1394982450850801,0.0557830088826483,0.0636648745468632,0.521125614151854,0.0999362403675902,0.0244139577941198,0.0331292888443227,0.0175796867508871,0.0070588132340455
2021hmp ,0.1779,59283.46767,59275.22237,59281.49970079211,20.83593338823941,19.945986708169816,21.19416531610612,-4.919541331030351,-1.4473150279260405,1.9520813429044777,0.1879535214839006,0.3433948682295928,-0.4431357379946655,0.0,0.0,2.3564889592894063,0.0441517829504795,0.023157387279457,0.0915826569542537,0.3445187128833708,0.1069287170720229,0.026045927117888,0.0371611640629928,0.0186618044352119,0.0074688645114954
2021hmq,0.129,59295.669364994596,59297.366431815935,59297.23125628605,19.993200776363334,19.98148480206477,20.631154418473333,-5.879017648282249,-0.6076646765999307,2.2106347470365995,0.2325613926104656,0.3767894324796322,-0.5504341047663872,0.4057624026812311,0.2830133390569985,0.6352733068398407,0.010655642866851,0.0081909087271704,0.0212361335882665,0.3352920407175009,0.0905524184293409,0.0249429807716847,0.0345014245584532,0.0179324866481353,0.0072089449892218
2021hmr  ,0.5187,59272.20444904431,59280.10411,59275.24546799071,20.41944964148224,20.80080735598478,20.88235794826941,-9.48473610161698,-4.8213608547169144,0.2015915961407895,0.0088348616499669,0.4578889830073885,0.2972858014736031,3.742613204824468,3.202649893432173,8.422116977886825,0.5159664455347781,0.1997103292510836,0.2595121212235933,1.5684753917741083,0.2064052787147645,0.0420873772338248,0.0783443197208785,0.0338017134197781,0.0115130074730505
2021hms ,0.5193,59302.52726615227,59302.43717548685,59313.07227548685,23.24464409061245,22.30170606070307,21.81665296437109,-4.248491069167078,-4.367731041382417,0.1920725170899423,-0.0008605078621546,0.4400719272306414,0.3018207406562819,1.3447394072821246,0.7315209392147971,0.0,0.0904521057164902,0.0387481063804732,0.0963993051859368,1.503810254536013,0.2407616294656888,0.0423135669419773,0.0784174853516826,0.0338414798317246,0.0115432648967871
